Time(ms),PWM(%),RPM
100,0,0.00
200,1,0.00
300,2,0.00
400,3,0.00
500,4,0.00
600,5,1.82
700,6,5.45
800,7,12.73
900,8,14.55
1000,9,21.82
1100,10,23.64
1200,11,27.27
1300,12,30.91
1400,13,32.73
1500,14,38.18
1600,15,41.82
1700,16,45.45
1800,17,49.09
1900,18,54.55
2000,19,58.18
2100,20,61.82
2200,21,67.27
2300,22,70.91
2400,23,76.36
2500,24,80.00
2600,25,83.64
2700,26,87.27
2800,27,90.91
2900,28,96.36
3000,29,100.00
3100,30,103.64
3200,31,107.27
3300,32,112.73
3400,33,116.36
3500,34,120.00
3600,35,125.45
3700,36,127.27
3800,37,132.73
3900,38,136.36
4000,39,140.00
4100,40,145.45
4200,41,149.09
4300,42,150.91
4400,43,158.18
4500,44,160.00
4600,45,163.64
4700,46,169.09
4800,47,172.73
4900,48,176.36
5000,49,180.00
5100,50,183.64
5200,51,187.27
5300,52,192.73
5400,53,196.36
5500,54,200.00
5600,55,203.64
5700,56,209.09
5800,57,210.91
5900,58,216.36
6000,59,220.00
6100,60,225.45
6200,61,229.09
6300,62,232.73
6400,63,236.36
6500,64,241.82
6600,65,245.45
6700,66,250.91
6800,67,250.91
6900,68,256.36
7000,69,261.82
7100,70,263.64
7200,71,269.09
7300,72,274.55
7400,73,278.18
7500,74,281.82
7600,75,287.27
7700,76,290.91
7800,77,294.55
7900,78,298.18
8000,79,300.00
8100,80,305.45
8200,81,309.09
8300,82,314.55
8400,83,316.36
8500,84,320.00
8600,85,325.45
8700,86,329.09
8800,87,332.73
8900,88,340.00
9000,89,341.82
9100,90,347.27
9200,91,350.91
9300,92,356.36
9400,93,360.00
9500,94,363.64
9500,94,363.64
9600,95,370.91
9700,96,372.73
9800,97,380.00
9900,98,385.45
10000,99,389.09
10100,100,389.09
10200,100,390.91
10300,100,392.73
10400,100,390.91
10500,100,390.91
10600,100,392.73
10700,100,390.91
10800,100,392.73
10900,100,390.91
11000,100,392.73

$K_p \approx \mathbf{0.25}$$K_i \approx \mathbf{2.10}$$K_d = \mathbf{0.00}$ 
